dt,AverageTemperature,Country,GDP,G20
2011-08-01,0.7446483180428134,United States,15542581104000.0,True
2012-08-01,0.727896704043493,United States,16197007349000.0,True
2013-08-01,0.7192660550458717,United States,16784849196000.0,True
1960-08-01,0.6523615358477745,Zimbabwe,1052990400.0,False
1961-08-01,0.588073394495413,Zimbabwe,1096646600.0,False
1962-08-01,0.6464152225620116,Zimbabwe,1117601600.0,False
1963-08-01,0.6062521236833163,Zimbabwe,1159511700.0,False
1964-08-01,0.6018688413183827,Zimbabwe,1217138000.0,False
1965-08-01,0.6296975874957527,Zimbabwe,1311435800.0,False
1966-08-01,0.6322460074753653,Zimbabwe,1281749500.0,False
1967-08-01,0.590791709140333,Zimbabwe,1397002000.0,False
1968-08-01,0.6601087325857968,Zimbabwe,1479599900.0,False
1969-08-01,0.6296636085626911,Zimbabwe,1747998800.0,False
1970-08-01,0.6592932381923208,Zimbabwe,1884206300.0,False
1971-08-01,0.6476724430852872,Zimbabwe,2178716300.0,False
1972-08-01,0.6065239551478082,Zimbabwe,2677729400.0,False
1973-08-01,0.609004417261298,Zimbabwe,3309353600.0,False
1974-08-01,0.6453278967040436,Zimbabwe,3982161400.0,False
1975-08-01,0.5891946992864424,Zimbabwe,4371300700.0,False
1976-08-01,0.5601766904519199,Zimbabwe,4318372000.0,False
1977-08-01,0.6203873598369011,Zimbabwe,4364382100.0,False
1978-08-01,0.6812776078831125,Zimbabwe,4351600500.0,False
1979-08-01,0.6539245667686036,Zimbabwe,5177459400.0,False
1980-08-01,0.6161399932042133,Zimbabwe,6678868200.0,False
1981-08-01,0.6306829765545362,Zimbabwe,8011373800.0,False
1982-08-01,0.6316683656133197,Zimbabwe,8539700700.0,False
1983-08-01,0.5959565069656813,Zimbabwe,7764067000.0,False
1984-08-01,0.6285083248386001,Zimbabwe,6352125900.0,False
1985-08-01,0.6256201155283724,Zimbabwe,5637259300.0,False
1986-08-01,0.6508664627930684,Zimbabwe,6217523700.0,False
1987-08-01,0.6501189262657152,Zimbabwe,6741215100.0,False
1988-08-01,0.6387020047570506,Zimbabwe,7814784100.0,False
1989-08-01,0.6600067957866123,Zimbabwe,8286322700.0,False
1990-08-01,0.63506625891947,Zimbabwe,8783816700.0,False
1991-08-01,0.6615018688413183,Zimbabwe,8641481700.0,False
1992-08-01,0.6331294597349643,Zimbabwe,6751472200.0,False
1993-08-01,0.636289500509684,Zimbabwe,6563813300.0,False
1994-08-01,0.6287461773700306,Zimbabwe,6890675000.0,False
1995-08-01,0.6964322120285422,Zimbabwe,7111270700.0,False
1996-08-01,0.6769962623173632,Zimbabwe,8553146600.0,False
1997-08-01,0.6641182466870541,Zimbabwe,8529571600.0,False
1998-08-01,0.643459055385661,Zimbabwe,6401968200.0,False
1999-08-01,0.64366292898403,Zimbabwe,6858013100.0,False
2000-08-01,0.6020727149167516,Zimbabwe,6689957600.0,False
2001-08-01,0.6942575603126061,Zimbabwe,6777384700.0,False
2002-08-01,0.6851512062521238,Zimbabwe,6342116400.0,False
2003-08-01,0.6399592252803262,Zimbabwe,5727591800.0,False
2004-08-01,0.6592592592592593,Zimbabwe,5805598400.0,False
2005-08-01,0.719843696907917,Zimbabwe,5755215200.0,False
2006-08-01,0.6415902140672783,Zimbabwe,5443896500.0,False
2007-08-01,0.645293917770982,Zimbabwe,5291950100.0,False
2008-08-01,0.6555895344886171,Zimbabwe,4415702800.0,False
2009-08-01,0.627420998980632,Zimbabwe,9665793300.0,False
2010-08-01,0.6204553177030242,Zimbabwe,12041655200.0,False
2011-08-01,0.6076452599388379,Zimbabwe,14101920300.0,False
2012-08-01,0.6437648657832145,Zimbabwe,17114849900.0,False
2013-08-01,0.6713897383622155,Zimbabwe,19091020000.0,False
